1600,1,2025-01-01T08:00:00,30.0
1601,2,2025-01-01T08:10:00,30.9
1602,3,2025-01-01T08:20:00,31.8
1603,1,2025-01-01T08:30:00,32.7
1604,2,2025-01-01T08:40:00,33.6
1605,3,2025-01-01T08:50:00,34.5
1606,1,2025-01-01T09:00:00,35.4
1607,2,2025-01-01T09:10:00,36.3
1608,3,2025-01-01T09:20:00,37.2
1609,1,2025-01-01T09:30:00,38.1
1610,2,2025-01-01T09:40:00,39.0
1611,3,2025-01-01T09:50:00,39.9
1612,1,2025-01-01T10:00:00,40.8
1613,2,2025-01-01T10:10:00,41.7
1614,3,2025-01-01T10:20:00,42.6
1615,1,2025-01-01T10:30:00,43.5
1616,2,2025-01-01T10:40:00,44.4
1617,3,2025-01-01T10:50:00,45.3
1618,1,2025-01-01T11:00:00,46.2
1619,2,2025-01-01T11:10:00,47.1
1620,3,2025-01-01T11:20:00,48.0
1621,1,2025-01-01T11:30:00,48.9
1622,2,2025-01-01T11:40:00,49.8
1623,3,2025-01-01T11:50:00,50.7
1624,1,2025-01-01T12:00:00,51.6
1625,2,2025-01-01T12:10:00,52.5
1626,3,2025-01-01T12:20:00,53.4
1627,1,2025-01-01T12:30:00,54.3
1628,2,2025-01-01T12:40:00,55.2
1629,3,2025-01-01T12:50:00,56.1
1630,1,2025-01-01T13:00:00,57.0
1631,2,2025-01-01T13:10:00,57.9
1632,3,2025-01-01T13:20:00,58.8
1633,1,2025-01-01T13:30:00,59.7
1634,2,2025-01-01T13:40:00,60.6
1635,3,2025-01-01T13:50:00,61.5
1636,1,2025-01-01T14:00:00,62.4
1637,2,2025-01-01T14:10:00,63.3
1638,3,2025-01-01T14:20:00,64.2
1639,1,2025-01-01T14:30:00,65.1
1640,2,2025-01-01T14:40:00,66.0
1641,3,2025-01-01T14:50:00,66.9
1642,1,2025-01-01T15:00:00,67.8
1643,2,2025-01-01T15:10:00,68.7
1644,3,2025-01-01T15:20:00,69.6
1645,1,2025-01-01T15:30:00,70.5
1646,2,2025-01-01T15:40:00,71.4
1647,3,2025-01-01T15:50:00,72.3
1648,1,2025-01-01T16:00:00,73.2
1649,2,2025-01-01T16:10:00,74.1
1650,3,2025-01-01T16:20:00,75.0
1651,1,2025-01-01T16:30:00,75.9
1652,2,2025-01-01T16:40:00,76.8
1653,3,2025-01-01T16:50:00,77.7
1654,1,2025-01-01T17:00:00,78.6
1655,2,2025-01-01T17:10:00,79.5
1656,3,2025-01-01T17:20:00,80.4
1657,1,2025-01-01T17:30:00,81.3
1658,2,2025-01-01T17:40:00,82.2
1659,3,2025-01-01T17:50:00,83.1
1660,1,2025-01-01T18:00:00,84.0
1661,2,2025-01-01T18:10:00,84.9
1662,3,2025-01-01T18:20:00,85.8
1663,1,2025-01-01T18:30:00,86.7
1664,2,2025-01-01T18:40:00,87.6
1665,3,2025-01-01T18:50:00,88.5
1666,1,2025-01-01T19:00:00,89.4
1667,2,2025-01-01T19:10:00,90.3
1668,3,2025-01-01T19:20:00,91.2
1669,1,2025-01-01T19:30:00,92.1
1670,2,2025-01-01T19:40:00,30.0
